trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
176,False,"{'a': 0.5, 'e': 0.1705274308895864}",30,4,-42.24972923426748,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 1}",1
177,False,"{'a': 0.5, 'e': 0.16882215658069055}",20,9,-8.861870646759737,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.16713393501488363}",25,2,-42.910257319563165,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
179,False,"{'a': 0.5, 'e': 0.16546259566473479}",25,0,-7.277608410279086,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.16380796970808745}",20,9,23.867049506405884,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16216989001100657}",25,2,15.605746149849988,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.1605481911108965}",20,8,22.16824091121109,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.15894270919978754}",25,12,1.0020519212785977,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15735328210778965}",20,5,29.856373015298512,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.15577974928671176}",25,17,13.873036724262452,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.15422195179384465}",30,16,15.104974780598193,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1526797322759062}",25,16,20.314954295948358,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
188,False,"{'a': 0.5, 'e': 0.15115293495314713}",25,7,-3.5441776816379624,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.14964140560361566}",30,20,-24.380002129876907,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.1481449915475795}",30,18,18.45320236539037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.1466635416321037}",20,8,-42.570706564449004,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
192,False,"{'a': 0.5, 'e': 0.14519690621578268}",25,11,13.902673060945068,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14374493715362485}",20,15,2.176637666552815,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.1423074877820886}",25,3,-20.769659289616012,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
195,False,"{'a': 0.5, 'e': 0.1408844129042677}",20,12,12.789522977474416,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.13947556877522502}",20,11,16.979049603211436,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13808081308747278}",25,16,15.523937045663404,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.13670000495659804}",20,13,11.887729832774031,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.13533300490703207}",30,19,24.08335255325303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.5, 'e': 0.13397967485796175}",30,7,33.76410661517952,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
